rva	symbol	category	disposition	public_header	probe	address_id
00020260	??0IVP_U_Memory@@QAE@XZ	public-memory	typed-wrapper	include/BML/IVP/Memory.h	IVP_U_Memory()	MemoryConstruct
00020270	?init_mem@IVP_U_Memory@@QAEXXZ	public-memory	typed-wrapper	include/BML/IVP/Memory.h	void init_mem()	MemoryInit
00020290	?free_mem@IVP_U_Memory@@QAEXXZ	public-memory	typed-wrapper	include/BML/IVP/Memory.h	void free_mem()	MemoryFree
00021A50	?increment_mem@IVP_U_BigVector_Base@@QAEXXZ	public-types	typed-wrapper	include/BML/IVP/Types.h	Address::BigVectorIncrementMemory	BigVectorIncrementMemory
00021AB0	sub_10021AB0 (retail IVP_Ray_Solver_Os::check_ray_against_compact_ledge_os void-return body)	public-ray	typed-wrapper	include/BML/IVP/Ray.h	Address::RaySolverObjectCheckCompactLedge	RaySolverObjectCheckCompactLedge
00021EE0	?check_ray_against_ledge_tree_node_os@IVP_Ray_Solver_Os@@QAEXPBVIVP_Compact_Ledgetree_Node@@@Z	public-ray	typed-wrapper	include/BML/IVP/Ray.h	Address::RaySolverObjectCheckLedgeTree	RaySolverObjectCheckLedgeTree
00022010	?check_ray_against_compact_surface_os@IVP_Ray_Solver_Os@@QAEXPBVIVP_Compact_Surface@@@Z	public-ray	typed-wrapper	include/BML/IVP/Ray.h	Address::RaySolverObjectCheckCompactSurface	RaySolverObjectCheckCompactSurface
00022030	??0IVP_Ray_Solver_Os@@QAE@PAVIVP_Ray_Solver@@PAVIVP_Real_Object@@@Z	public-ray	typed-wrapper	include/BML/IVP/Ray.h	Address::RaySolverObjectConstruct	RaySolverObjectConstruct
00022180	?try_to_generate_managed_friction@IVP_Mindist@@QAEPAVIVP_Contact_Point@@PAPAVIVP_Friction_System@@PAW4IVP_BOOL@@PAVIVP_Simulation_Unit@@W44@@Z	public-mindist	typed-wrapper	include/BML/IVP/Mindist.h	Address::MindistTryManagedFriction	MindistTryManagedFriction
00023FA0	?get_material_info@IVP_Contact_Point@@QAEXQAPAVIVP_Material@@@Z	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::ContactPointGetMaterialInfo	ContactPointGetMaterialInfo
00024040	?read_materials_for_contact_situation@IVP_Contact_Point@@AAEXPAVIVP_Impact_Solver_Long_Term@@@Z	public-environment	typed-wrapper	include/BML/IVP/Environment.h	Address::ContactPointReadMaterials	ContactPointReadMaterials
000240A0	?do_impact@IVP_Mindist@@UAEXXZ	public-mindist	typed-wrapper	include/BML/IVP/Mindist.h	Address::MindistDoImpact	MindistDoImpact
00024140	?do_impact_long_term@IVP_Impact_Solver_Long_Term@@QAEXQAPAVIVP_Core@@MPAVIVP_Contact_Point@@@Z	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::ImpactSolverLongTermDoImpact	ImpactSolverLongTermDoImpact
000248A0	?get_rot_speed_uncertainty@IVP_Contact_Point@@AAEMXZ	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::ContactPointGetRotationUncertainty	ContactPointGetRotationUncertainty
00024930	?get_rescue_speed_impact@IVP_Contact_Point@@AAEMPAVIVP_Environment@@@Z	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::ContactPointGetRescueSpeed	ContactPointGetRescueSpeed
000249B0	?calc_coll_distance@IVP_Contact_Point@@AAEXXZ	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::ContactPointCalculateCollisionDistance	ContactPointCalculateCollisionDistance
00028210	??0IVP_Constraint_Local_Anchor@@QAE@XZ	public-constraint	typed-wrapper	include/BML/IVP/Constraint.h	Address::ConstraintLocalAnchorConstruct	ConstraintLocalAnchorConstruct
0002EF70	?simulate_time_events@IVP_Event_Manager_Standard@@EAEXPAVIVP_Time_Manager@@PAVIVP_Environment@@VIVP_Time@@@Z	public-time-manager	typed-wrapper	include/BML/IVP/TimeManager.h	Address::EventManagerStandardSimulate	EventManagerStandardSimulate
0002F010	?simulate_variable_time_step@IVP_Event_Manager@@UAEXPAVIVP_Time_Manager@@PAVIVP_Environment@@PAVIVP_Time_Event_PSI@@M@Z	public-time-manager	typed-wrapper	include/BML/IVP/TimeManager.h	Address::EventManagerSimulateVariable	EventManagerSimulateVariable
0002F0B0	??0IVP_Time_Manager@@QAE@XZ	public-time-manager	typed-wrapper	include/BML/IVP/TimeManager.h	Address::TimeManagerConstruct	TimeManagerConstruct
0002F170	??1IVP_Time_Manager@@QAE@XZ	public-time-manager	typed-wrapper	include/BML/IVP/TimeManager.h	Address::TimeManagerDestruct	TimeManagerDestruct
0002F1D0	?insert_event@IVP_Time_Manager@@QAEXPAVIVP_Time_Event@@VIVP_Time@@@Z	public-time-manager	typed-wrapper	include/BML/IVP/TimeManager.h	Address::TimeManagerInsertEvent	TimeManagerInsertEvent
0002F200	?remove_event@IVP_Time_Manager@@QAEXPAVIVP_Time_Event@@@Z	public-time-manager	typed-wrapper	include/BML/IVP/TimeManager.h	Address::TimeManagerRemoveEvent	TimeManagerRemoveEvent
